한식,5993
호프/통닭,1624
분식,671
기타,549
경양식,535
식육(숯불구이),523
통닭(치킨),487
정종/대포집/소주방,429
중국식,378
일식,310
까페,270
패스트푸드,140
회집,117
뷔페식,92
김밥(도시락),71
"외국음식전문점(인도,태국등)",45
탕류(보신용),23
전통찻집,15
키즈카페,11
감성주점,8
라이브카페,5
패밀리레스트랑,5
냉면집,5
복어취급,4
출장조리,3
