일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),대분류,중분류,통화비율(시군구내)
20191007,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191007,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191007,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191007,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191007,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191008,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191008,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191008,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191008,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191008,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191008,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191008,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191008,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191008,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191008,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191008,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191009,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191009,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191009,50,남성,충남,천안시 서북구,음식점,한식,0.0001
20191009,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191009,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191009,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191009,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191009,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191009,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191009,30,여성,충남,천안시 서북구,음식점,분식,0.0001
20191009,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191009,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191009,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191009,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191009,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191010,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191010,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191010,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191010,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191010,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191010,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191010,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191010,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191010,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191011,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191011,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191011,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191011,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191011,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191011,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191011,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191011,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191011,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191011,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191011,40,남성,충남,천안시 서북구,음식점,한식,0.0003
20191011,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191012,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191012,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191012,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191012,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191012,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191012,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191012,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191012,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191012,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191012,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191012,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191012,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191012,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191012,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191012,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191013,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191013,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191013,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191013,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191013,50,남성,충남,천안시 서북구,음식점,한식,0.0001
20191013,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191013,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191013,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191013,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191013,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191013,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191013,40,여성,충남,천안시 서북구,음식점,중식,0.0001
20191013,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191013,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191014,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191014,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191014,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191014,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191014,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191014,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191014,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191014,50,남성,충남,천안시 서북구,음식점,한식,0.0001
20191014,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191014,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191015,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191015,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191015,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191015,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191015,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191015,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191015,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191015,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191015,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191015,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191016,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191016,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191016,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191016,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191016,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191016,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191016,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191016,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191016,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191016,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191017,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191017,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191017,40,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191017,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191017,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191017,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191017,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191017,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191017,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191017,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191018,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191018,30,여성,충남,천안시 서북구,음식점,분식,0.0001
20191018,40,여성,충남,천안시 서북구,음식점,치킨,0.0003
20191018,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191018,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191018,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191018,50,여성,충남,천안시 서북구,음식점,한식,0.0001
20191018,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191018,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191018,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191018,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191018,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191018,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191019,30,남성,충남,천안시 서북구,음식점,한식,0.0003
20191019,30,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191019,30,여성,충남,천안시 서북구,음식점,한식,0.0002
20191019,30,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191019,30,여성,충남,천안시 서북구,음식점,분식,0.0001
20191019,40,남성,충남,천안시 서북구,음식점,한식,0.0003
20191019,40,남성,충남,천안시 서북구,음식점,중식,0.0001
20191019,30,남성,충남,천안시 서북구,음식점,중식,0.0001
20191019,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191019,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191019,20,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191019,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191019,40,여성,충남,천안시 서북구,음식점,한식,0.0003
20191019,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191019,40,남성,충남,천안시 서북구,음식점,치킨,0.0002
20191020,30,여성,충남,천안시 서북구,음식점,한식,0.0002
